"","race","age_r","gender","sup_hash","sup_letter","sup_donate","sup_authority","sup_prosecute","sup_access","sup_training","ntv_invisibility_1","ntv_invisibility_2","ntv_invisibility_3","ntv_invisibility_4","ntv_invisibility_5","ntv_invisibility_6","invisibility1_13","invisibility1_14","invisibility1_15","invisibility1_16","invisibility1_17","invisibility1_18","in_violence","racism_mini_1","racism_mini_2","racism_mini_3","racism_mini_4","racism_mini_5","racism_mini_6","racism_mini_7","racism_mini_8","racism_mini_9","racism_mini_10","ab_activists","ab_sex_work","ab_non_native_pers","ab_rez","ab_citizens","ab_runaways","ab_drug","ab_male_worker","ab_criminal","ab_two_parent","ab_tribal_police","ab_poverty","ab_native_comm","ab_society","ab_abusive","ab_laws","Support","Invsibility","VictimBlaming","StructuralForces","RaceMini"
"1",3,27,1,3,2,2,4,2,3,4,5,3,3,4,5,4,6,5,4,6,6,6,5,5,3,6,5,4,4,3,5,4,4,5,3,3,4,3,4,4,5,4,3,5,5,4,5,3,3,2.85714285714286,4.75,4,3.66666666666667,4.5
"2",3,31,2,2,3,2,3,2,3,2,3,4,4,2,3,3,3,2,4,4,2,3,4,3,2,2,2,2,2,1,1,3,2,4,3,4,4,5,5,3,5,3,4,4,3,3,2,2,4,2.42857142857143,3.41666666666667,3.66666666666667,4.66666666666667,4.2
"3",3,32,1,4,4,4,3,3,3,4,5,6,5,5,5,6,6,6,6,5,5,6,6,6,7,6,5,5,4,6,5,6,5,6,5,6,5,5,5,5,6,6,6,5,5,6,5,6,5,3.57142857142857,4.83333333333333,5.33333333333333,5,4.1
"4",3,48,2,1,1,1,1,1,1,1,4,4,3,4,5,5,6,2,6,3,6,5,6,6,2,6,2,2,2,2,6,4,6,5,4,4,4,3,5,4,4,4,3,3,5,3,3,4,4,1,4.75,4.33333333333333,3.83333333333333,5.8
"5",3,36,2,4,4,5,5,4,4,5,7,7,7,7,6,7,6,6,5,7,6,5,5,5,5,6,6,5,5,6,6,5,6,5,5,3,5,5,6,3,5,4,6,5,5,3,5,5,4,4.42857142857143,5.5,4.66666666666667,4.16666666666667,4.1
"6",4,23,2,3,3,3,3,3,3,3,3,5,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,5,5,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3.66666666666667,3.83333333333333,4,3.5
"7",4,36,2,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,4,4,2,3,3,3,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3.16666666666667,4.33333333333333,4.5,3.7
"8",6,32,1,4,3,5,5,4,4,5,6,6,5,4,7,4,4,5,6,4,5,5,3,5,7,6,7,5,4,5,5,6,6,5,5,5,6,6,6,6,7,6,5,5,5,7,6,5,5,4.28571428571429,4.58333333333333,5.66666666666667,5,4
"9",3,28,1,1,1,1,3,3,1,1,4,3,3,3,5,4,4,4,3,4,3,4,6,5,4,3,4,4,4,4,3,4,4,3,5,5,3,2,3,5,4,5,6,6,7,2,6,5,5,1.57142857142857,3.83333333333333,4,4,3.9
"10",1,19,2,3,3,4,2,4,3,2,4,3,3,4,5,4,4,5,3,5,3,3,4,3,3,4,5,5,4,4,3,4,3,2,5,5,3,5,3,2,4,3,5,4,5,3,4,3,5,3,3.83333333333333,3,4.5,3.6
"11",3,36,2,5,4,5,5,5,5,5,2,6,1,5,6,3,1,6,2,6,6,5,2,1,6,1,7,7,7,6,1,2,2,1,4,6,2,7,2,3,5,2,1,5,3,1,6,2,3,4.85714285714286,3.41666666666667,2.33333333333333,4.66666666666667,1.4
"12",3,37,2,NA,5,3,5,5,5,5,4,6,1,4,5,2,2,4,2,2,1,2,2,4,5,4,7,7,7,4,1,2,2,4,2,4,2,6,2,2,4,2,4,4,4,2,4,4,4,4.66666666666667,2.58333333333333,2.33333333333333,4.33333333333333,2.3
"13",2,33,1,3,3,4,2,3,3,3,4,5,5,4,6,6,5,5,6,6,5,6,4,4,5,5,6,4,4,6,4,5,6,2,3,3,5,4,4,4,4,4,5,4,4,3,3,4,4,3,4.91666666666667,3.66666666666667,4,3.9
"14",2,26,2,1,2,2,2,2,3,3,3,4,5,4,4,5,4,6,5,5,6,6,4,4,5,5,3,4,5,5,6,3,6,5,4,5,4,5,4,6,6,4,5,5,5,5,4,4,5,2.14285714285714,4.41666666666667,4.5,5,4.2
"15",3,31,2,5,4,4,4,5,5,4,6,2,6,5,6,5,3,1,2,1,6,1,1,2,7,2,5,6,1,6,1,6,2,1,4,6,1,7,4,4,6,4,5,6,4,5,4,4,5,4.42857142857143,4.5,3,5.66666666666667,2.8
"16",3,25,1,2,2,2,3,3,2,2,4,5,4,4,5,4,3,4,4,3,3,4,1,5,3,5,3,4,4,4,3,4,5,3,5,4,4,7,4,3,4,4,4,4,4,3,4,4,4,2.28571428571429,3.75,3.83333333333333,4.5,4.4
"17",3,25,2,5,3,3,5,5,4,4,2,6,1,6,7,4,3,6,3,5,6,4,3,1,7,1,7,7,7,7,1,2,1,1,4,6,2,6,1,3,5,1,1,6,4,1,7,3,6,4.14285714285714,3.75,2,5,1.1
"18",3,34,2,1,1,1,4,1,1,1,1,6,2,6,7,7,7,1,7,6,7,4,7,7,1,7,1,1,1,1,6,7,6,1,1,3,1,6,2,2,3,1,1,7,3,1,6,2,7,1.42857142857143,5.25,1.33333333333333,4.66666666666667,6.8
"19",3,NA,2,3,2,4,3,3,3,3,4,5,2,4,6,5,5,5,5,5,6,6,5,3,6,3,6,6,5,4,3,3,4,2,6,3,2,5,3,4,5,4,5,5,6,3,4,5,3,3,4.5,3.5,4.16666666666667,2.9
"20",2,34,1,4,4,3,5,5,5,5,5,4,4,6,7,5,4,2,1,2,5,2,2,1,7,2,7,7,7,6,1,6,1,1,1,6,4,7,2,1,1,1,1,6,1,1,7,1,7,4.42857142857143,4.25,1.66666666666667,4.66666666666667,1.7
"21",3,27,1,2,4,2,3,5,4,4,3,5,2,5,5,1,2,5,5,3,5,2,5,5,2,5,3,5,2,2,6,1,5,2,2,5,3,5,2,2,3,6,4,5,2,6,5,6,5,3.42857142857143,3.25,2.83333333333333,4.33333333333333,4.8
"22",3,32,2,5,5,5,5,5,5,5,2,6,2,5,5,2,2,5,2,2,2,2,1,2,6,2,6,6,6,5,2,2,2,2,3,5,2,6,4,1,6,3,2,5,2,2,6,4,5,5,2.58333333333333,2.5,4.83333333333333,2.1
"23",3,30,1,1,2,1,2,3,3,3,3,3,2,5,6,5,2,5,2,5,5,5,3,3,5,3,5,6,6,6,3,2,3,2,2,4,2,6,2,2,4,4,4,5,5,4,5,4,4,2.14285714285714,4,2.33333333333333,4.33333333333333,2.6
"24",3,45,2,2,3,3,2,5,4,3,2,7,1,2,2,2,1,2,3,5,5,3,2,2,3,2,6,7,7,5,2,2,2,1,3,4,2,6,1,1,5,2,2,6,3,1,5,6,6,3.14285714285714,2.75,1.66666666666667,5,2.2
"25",3,43,1,2,1,2,2,2,2,2,6,6,5,6,6,5,2,6,6,6,5,6,6,3,6,3,6,2,5,6,2,2,5,2,2,2,2,4,2,2,2,2,4,5,6,4,6,4,5,1.85714285714286,4.75,2,3.33333333333333,3
"26",3,25,1,3,3,3,3,3,3,3,5,5,2,5,5,2,2,2,2,2,2,2,2,6,3,6,6,3,2,2,6,5,6,3,5,5,4,6,3,4,5,4,4,5,4,2,3,4,4,3,3.16666666666667,3.83333333333333,5,5.3
"27",3,61,2,2,5,5,5,5,5,5,1,5,2,7,7,1,1,7,1,7,5,7,2,1,7,1,7,7,4,7,1,1,1,1,1,1,1,7,1,1,4,1,7,7,7,7,7,5,7,4.57142857142857,3.58333333333333,1,4.5,1.3
"28",3,36,1,1,1,1,5,5,1,1,4,4,1,5,5,2,2,6,1,4,3,4,2,1,7,1,7,7,7,4,1,2,2,3,4,4,3,3,4,4,4,4,4,5,5,3,3,4,4,2.14285714285714,3.08333333333333,3.66666666666667,4.16666666666667,1.5
"29",3,23,1,2,2,2,3,3,NA,2,2,2,5,2,4,2,2,3,2,3,3,2,2,2,3,3,5,3,2,2,2,3,3,3,3,2,3,3,2,3,3,2,2,2,3,3,4,3,2,2.33333333333333,3.16666666666667,2.66666666666667,2.66666666666667,3.8
"30",2,37,2,2,2,2,2,3,2,2,4,4,4,4,5,5,5,4,5,5,4,5,1,3,5,3,5,4,4,5,3,3,3,1,4,4,4,6,4,1,4,4,4,4,4,4,4,4,4,2.14285714285714,4.5,3,4.33333333333333,3.2
"31",3,30,1,2,2,2,2,2,2,2,4,4,4,5,5,5,4,5,4,5,4,4,6,4,3,5,4,4,5,5,4,4,5,6,6,6,6,6,6,6,6,4,4,5,4,4,5,5,5,2,4.25,5.66666666666667,5.16666666666667,4.1
"32",3,30,1,2,2,2,4,4,2,2,4,5,4,5,6,5,4,2,4,2,2,2,4,7,4,7,1,2,2,4,6,7,6,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,2.57142857142857,3.91666666666667,4,4.33333333333333,6
"33",2,29,2,4,5,4,4,4,4,4,6,3,2,6,6,3,5,5,5,5,5,4,6,2,4,3,5,5,5,4,3,3,5,1,4,4,4,7,2,2,4,2,2,5,3,3,5,3,5,4.14285714285714,4.58333333333333,2.5,4.66666666666667,3.3
"34",3,28,2,2,2,2,4,4,4,4,6,5,2,3,5,5,5,2,7,6,5,5,3,6,2,6,2,2,6,2,7,6,7,2,2,5,3,3,3,2,5,2,3,6,6,7,3,6,5,3.14285714285714,4.83333333333333,2.33333333333333,4.83333333333333,5.8
"35",4,23,2,4,4,3,4,4,3,2,5,4,6,6,4,5,6,5,3,5,4,4,5,5,4,6,6,4,6,4,5,6,5,4,6,4,4,6,5,3,5,5,5,4,5,5,4,6,5,3.42857142857143,4.58333333333333,4.5,4.66666666666667,4.3
"36",3,35,1,2,1,3,4,3,5,5,2,6,4,7,7,6,2,6,5,7,7,7,5,1,7,1,7,7,6,7,2,2,2,1,1,5,3,6,5,2,5,2,6,7,6,2,7,4,4,3.28571428571429,4.83333333333333,2.33333333333333,4.66666666666667,1.4
"37",3,46,2,4,3,3,5,5,4,3,2,5,2,4,6,4,2,2,3,4,4,2,2,6,3,6,2,2,2,3,3,5,4,3,2,4,2,6,2,2,4,2,5,6,6,5,1,4,2,3.85714285714286,3.5,2.16666666666667,4.83333333333333,5.2
"38",3,51,1,4,2,2,4,4,4,4,5,3,3,6,6,7,2,2,6,6,7,6,6,3,6,2,6,6,6,5,2,2,2,2,2,4,1,6,2,2,4,2,5,6,3,5,6,3,5,3.42857142857143,5.41666666666667,1.83333333333333,4.5,2.2
"39",3,68,1,2,1,2,4,3,4,2,5,3,2,5,5,5,3,5,3,4,3,3,5,6,5,5,3,3,4,4,5,6,5,2,5,4,3,3,4,4,4,3,5,5,5,5,5,4,3,2.57142857142857,3.83333333333333,3.5,3.66666666666667,4.8
"40",3,69,2,4,3,3,4,4,4,4,1,6,1,6,6,6,3,5,6,7,7,6,5,4,4,4,6,7,7,4,2,4,4,2,4,4,1,7,3,4,4,4,5,5,5,5,5,4,4,3.71428571428571,4.5,3,4.5,3
"41",1,56,1,4,3,3,3,4,4,4,5,5,5,4,4,5,5,5,5,5,5,5,5,3,5,2,6,5,5,4,3,4,3,2,4,5,3,5,2,4,4,3,4,5,4,3,5,3,5,3.57142857142857,4.5,3,4.5,3
"42",3,52,2,2,2,1,3,3,2,2,4,3,5,7,6,6,2,6,6,7,7,6,6,5,2,6,3,3,3,4,3,6,5,2,2,4,2,5,3,3,4,3,6,6,6,3,5,4,3,2.14285714285714,5.25,2.5,4.16666666666667,5
"43",3,65,1,5,4,3,5,5,4,3,2,6,2,6,6,6,3,2,5,6,6,6,6,2,6,2,6,6,6,6,2,6,2,2,2,5,2,6,2,2,5,2,5,6,5,2,6,3,5,4.14285714285714,4.66666666666667,2,4.83333333333333,2.4
"44",3,36,1,2,1,2,2,1,3,2,2,5,2,3,3,4,4,4,5,4,3,4,3,6,2,6,2,3,4,4,6,6,6,5,4,3,4,4,4,4,6,4,4,4,4,3,2,4,3,1.85714285714286,3.41666666666667,4.16666666666667,4.33333333333333,5.5
"45",2,24,1,5,3,3,5,4,3,2,4,5,5,5,6,3,4,4,4,5,5,4,6,4,5,3,6,3,5,4,5,5,4,4,5,5,4,6,5,4,6,6,4,5,4,4,4,4,6,3.57142857142857,4.33333333333333,4.66666666666667,5.33333333333333,3.8
"46",3,26,1,1,2,3,3,3,3,4,6,3,4,6,3,5,3,1,1,4,3,5,5,4,5,3,5,3,2,4,3,2,5,4,5,4,4,3,3,4,4,4,5,4,5,5,3,5,4,2.71428571428571,4.33333333333333,4,4,3.8
"47",3,50,1,4,5,4,5,5,4,4,2,6,2,5,2,4,1,6,3,5,5,5,5,2,5,3,6,6,6,7,2,3,2,2,5,3,2,7,3,4,4,4,7,6,7,3,5,5,5,4.42857142857143,3.16666666666667,3.33333333333333,4.66666666666667,2.2
"48",3,37,1,5,5,4,5,5,5,5,1,6,1,5,6,2,2,3,3,5,3,4,4,1,7,1,7,7,7,7,1,1,1,1,1,4,1,7,1,1,4,1,1,1,1,1,5,1,5,4.85714285714286,3.25,1,4,1
"49",3,40,1,4,3,4,3,3,4,3,2,2,2,2,5,2,2,5,2,2,2,3,2,6,4,4,5,4,4,4,3,2,3,2,4,5,3,5,5,5,4,4,3,2,4,4,5,4,5,3.42857142857143,2.75,3.83333333333333,4,3.7
"50",3,46,1,5,5,2,5,5,5,5,2,5,2,6,7,7,5,6,6,6,7,6,6,1,7,1,7,7,7,6,3,2,3,2,4,4,2,6,4,4,5,4,4,4,6,2,5,4,4,4.57142857142857,4.91666666666667,3.33333333333333,4.33333333333333,1.6
"51",3,33,1,3,3,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,3,2,3,2,2,3,2,2,2,2,3,NA,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2.28571428571429,3.08333333333333,2.16666666666667,2.83333333333333,4.44444444444444
"52",8,48,1,2,2,3,4,4,3,3,7,6,1,7,7,7,2,5,3,7,7,7,7,1,7,1,7,7,4,7,1,4,1,1,6,6,1,4,4,5,6,5,7,7,7,4,4,4,7,3,5,3.66666666666667,5.66666666666667,1.6
"53",7,26,1,2,5,4,5,5,5,5,4,4,3,6,4,5,1,4,1,6,6,4,1,4,7,4,5,5,4,7,3,2,6,2,2,2,1,7,5,1,6,2,6,6,6,5,5,5,2,4.42857142857143,4,2.16666666666667,4.33333333333333,3.1
"54",3,26,2,5,4,3,4,4,4,5,6,2,2,5,7,7,6,2,6,5,6,7,5,2,6,6,6,7,6,6,2,2,2,1,3,6,2,6,2,1,7,1,2,6,5,5,7,2,6,4.14285714285714,5.75,1.66666666666667,5.33333333333333,2.3
"55",8,51,1,5,5,5,5,5,5,5,2,5,2,5,5,5,5,2,5,5,5,2,7,3,5,3,5,6,3,5,3,5,3,1,3,7,7,7,1,1,2,2,1,7,2,2,2,2,2,5,4.16666666666667,2.5,5.16666666666667,3.3
"56",3,49,2,4,3,3,4,3,3,3,3,5,2,3,3,3,3,4,3,3,3,4,5,5,5,3,5,5,3,3,5,3,5,2,4,3,2,5,2,2,4,2,5,5,5,4,3,5,4,3.28571428571429,3.08333333333333,2.33333333333333,4.33333333333333,4
"57",4,32,1,3,4,2,4,3,2,3,5,4,4,4,4,3,3,5,5,3,5,3,6,5,3,5,3,5,4,7,1,3,2,4,3,3,3,4,2,3,5,4,4,3,4,3,3,4,5,3,3.83333333333333,3.16666666666667,4.16666666666667,3.4
"58",2,33,1,3,3,5,4,4,4,4,6,7,5,5,6,5,6,5,7,6,6,7,5,7,6,5,7,5,6,5,7,5,6,6,7,6,6,6,7,5,5,6,5,6,5,7,4,6,5,3.85714285714286,5.25,6.16666666666667,5.33333333333333,4.1
"59",3,37,1,1,1,1,1,1,1,1,1,2,3,2,2,4,2,2,2,3,1,2,4,4,4,4,2,4,6,3,4,5,5,3,4,3,4,3,4,5,5,4,4,4,4,4,3,5,4,1,2.83333333333333,4,4,4.3
"60",3,26,1,2,3,4,4,4,4,4,1,5,1,1,3,2,7,4,2,1,1,2,6,5,6,3,6,4,3,1,4,3,3,2,2,4,1,5,2,2,3,2,5,5,4,5,7,3,2,3.57142857142857,2.33333333333333,1.83333333333333,3.33333333333333,3.8
"61",2,30,1,5,4,5,3,4,3,5,1,6,5,7,5,3,7,5,4,4,4,3,2,5,4,4,5,7,5,3,5,7,3,1,4,4,2,7,5,4,3,4,6,5,5,2,1,1,5,4.14285714285714,4,3.33333333333333,5.16666666666667,4
"62",3,48,1,5,3,3,5,5,5,5,2,7,1,7,7,7,3,1,7,7,7,7,7,1,7,1,7,7,7,7,1,4,1,1,6,6,2,7,2,2,6,1,4,7,7,2,7,7,7,4.42857142857143,5.25,2.33333333333333,5.66666666666667,1.3
"63",3,NA,2,2,1,2,4,3,3,3,5,3,4,5,6,5,5,3,5,5,5,5,5,5,3,5,3,3,3,3,5,5,5,3,3,4,3,4,3,2,5,2,3,3,5,4,2,3,3,2.57142857142857,5,2.66666666666667,4.16666666666667,5
"64",1,23,2,3,3,4,4,3,4,4,3,5,6,5,5,3,2,4,4,6,5,5,3,4,5,5,4,6,5,5,4,3,3,2,6,4,2,5,4,3,5,6,5,5,5,5,6,6,3,3.57142857142857,4.25,3.83333333333333,4,3.4
"65",3,28,2,4,4,4,4,4,4,4,3,5,2,5,6,5,5,3,5,5,6,5,3,6,5,6,2,5,6,3,3,3,5,2,2,5,3,6,2,NA,5,2,2,6,5,5,5,5,5,4,4.58333333333333,2.2,5,4.2
"66",3,58,2,2,2,3,3,3,4,2,3,5,2,4,4,4,2,4,2,6,5,2,5,5,4,5,4,4,3,2,2,3,2,3,3,3,3,6,2,3,4,2,4,3,5,2,2,4,5,2.71428571428571,3.41666666666667,2.66666666666667,4.5,4
"67",4,48,2,3,2,3,3,3,3,3,4,5,4,4,5,5,5,4,6,5,5,4,4,6,4,6,4,5,4,4,4,4,4,3,2,4,3,5,4,2,4,3,4,4,4,4,5,4,5,2.85714285714286,4.5,2.83333333333333,4.16666666666667,4.3
"68",3,23,1,3,3,4,5,4,3,4,3,7,5,3,2,2,6,7,6,5,6,7,3,5,7,6,6,5,5,6,6,7,6,7,6,6,6,6,5,5,6,5,6,5,6,4,7,4,7,3.71428571428571,3.91666666666667,5.66666666666667,5.16666666666667,4.1
"69",2,34,2,5,3,5,5,5,5,5,7,3,2,7,7,1,2,5,1,2,5,3,1,1,6,1,6,7,7,7,1,1,1,1,2,4,1,7,4,2,4,2,2,6,5,3,7,5,5,4.71428571428571,3.75,2,4.5,1.2
"70",3,35,1,4,5,2,5,5,4,5,5,6,2,5,5,3,1,6,2,5,2,7,5,1,7,1,7,5,7,4,1,7,1,1,2,4,1,7,2,5,6,1,7,6,5,1,5,7,5,4.28571428571429,3.41666666666667,2,5.16666666666667,2.1
"71",2,49,2,4,2,3,3,3,3,5,5,4,2,7,7,6,4,3,6,5,6,4,4,2,7,1,7,7,7,7,1,7,1,2,4,5,5,6,2,2,5,2,2,6,6,2,7,2,6,3.28571428571429,5.08333333333333,2.83333333333333,4.83333333333333,1.7
"72",8,28,2,1,1,2,4,4,3,2,2,6,1,3,5,2,4,2,5,4,2,4,4,7,2,7,1,1,1,2,4,1,4,1,4,5,1,7,4,4,4,4,4,2,4,1,1,4,4,2.42857142857143,3.33333333333333,3,4.83333333333333,5.6
"73",3,47,1,5,4,5,5,5,5,5,5,4,7,7,7,5,1,2,7,7,5,7,5,1,7,1,7,7,4,6,4,7,4,1,3,4,4,7,4,5,5,4,7,7,6,7,7,4,6,4.85714285714286,5.66666666666667,3.5,5,2.6
"74",1,27,1,4,3,3,5,5,5,5,5,3,3,5,7,6,4,3,4,6,7,5,6,5,6,3,5,6,7,5,2,3,4,2,4,4,5,5,4,4,3,3,3,6,5,6,4,4,5,4.28571428571429,5.16666666666667,3.66666666666667,4.5,2.8
"75",3,49,2,4,3,2,4,4,3,3,5,3,2,5,4,6,2,3,2,6,6,5,3,5,3,4,3,4,3,2,3,4,2,2,4,5,1,5,4,3,4,3,4,5,3,4,4,4,5,3.28571428571429,4.41666666666667,2.83333333333333,4.66666666666667,4.3
"76",3,29,1,4,2,3,4,4,4,2,6,6,4,3,6,4,6,2,6,6,4,6,6,6,5,6,6,3,6,3,4,6,6,3,3,6,4,4,6,7,6,6,4,6,6,4,3,3,6,3.28571428571429,4.91666666666667,4.83333333333333,5.5,4.5
"77",3,34,2,4,2,3,4,5,4,4,2,5,2,3,5,3,2,2,2,5,3,3,2,2,7,1,6,7,6,6,1,4,2,2,2,5,2,6,2,2,6,2,5,6,5,3,6,4,6,3.71428571428571,3.25,2,5.16666666666667,1.8
"78",3,31,2,4,4,3,5,5,4,4,5,2,3,7,7,7,7,7,7,5,7,5,1,2,7,2,2,6,7,5,2,5,2,1,1,5,1,6,1,1,6,1,4,7,6,5,7,4,5,4.14285714285714,5.58333333333333,1,5,2.6
"79",8,28,1,5,5,5,5,5,5,5,2,7,1,6,5,7,7,1,2,7,7,7,5,1,6,1,7,7,7,7,1,1,4,1,4,4,4,7,4,4,4,4,4,6,7,7,7,6,4,5,4.91666666666667,3.5,4.33333333333333,1.4
"80",3,44,2,5,4,3,5,5,5,5,2,6,2,6,5,3,2,3,2,5,5,5,5,1,7,1,7,7,7,6,1,5,1,1,4,4,2,7,2,4,4,4,4,5,6,4,6,4,5,4.57142857142857,3.66666666666667,2.83333333333333,4.5,1.5
"81",1,31,1,4,3,4,4,4,4,4,1,5,2,2,3,4,4,2,2,6,3,4,5,2,6,6,4,6,4,4,2,2,2,2,1,4,4,6,1,1,2,6,4,6,6,5,7,5,5,3.85714285714286,3.33333333333333,2.5,4,3
"82",1,46,1,3,3,4,3,3,3,3,3,4,2,4,4,4,3,4,3,5,5,4,3,4,4,3,5,5,4,4,4,4,4,2,4,4,4,6,3,3,4,3,4,4,4,3,4,4,4,3.14285714285714,3.75,3.16666666666667,4.33333333333333,3.7
"83",2,32,2,3,3,3,3,4,3,3,4,4,5,4,4,5,3,4,4,4,4,4,3,4,3,4,3,4,3,5,4,4,4,5,4,4,5,4,5,5,6,4,4,4,4,4,2,3,4,3.14285714285714,4.08333333333333,4.66666666666667,4.66666666666667,4.2
"84",3,53,2,3,2,3,4,4,2,2,3,5,5,5,6,6,2,5,6,3,6,6,2,3,6,2,6,5,4,3,3,4,3,2,2,2,2,6,3,3,6,2,5,5,5,5,3,3,6,2.85714285714286,4.5,2.33333333333333,5,3.1
"85",3,36,1,1,1,1,5,5,5,2,3,3,5,6,7,7,5,3,7,7,7,5,5,7,3,7,3,1,4,3,3,5,3,3,4,4,4,5,1,2,4,3,4,4,3,4,1,1,4,2.85714285714286,5.75,2.83333333333333,4.66666666666667,5.1
"86",1,50,2,2,2,3,3,3,2,2,5,4,4,5,5,5,5,5,5,5,5,5,4,4,4,6,4,4,5,4,4,4,4,2,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2.42857142857143,4.66666666666667,3.66666666666667,4.16666666666667,4.1
"87",3,49,1,3,2,3,5,5,2,2,5,6,2,5,6,3,6,2,2,6,6,6,2,2,6,2,5,5,4,5,3,2,3,2,4,4,2,6,4,4,4,4,4,7,6,2,5,5,5,3.14285714285714,4.58333333333333,3.33333333333333,4.83333333333333,2.7
"88",3,25,1,2,2,4,2,4,4,2,6,6,2,5,6,5,3,6,3,5,2,5,6,5,5,5,5,6,2,2,2,5,3,6,3,6,5,5,2,5,3,2,2,5,6,3,3,5,6,2.85714285714286,3.83333333333333,3.83333333333333,5,4
"89",3,26,1,3,2,1,3,2,2,1,5,4,2,5,7,6,5,2,7,7,7,6,6,2,6,3,6,5,5,2,2,3,4,2,2,5,4,5,3,2,2,4,5,6,6,2,5,5,7,2,5.58333333333333,2.83333333333333,4.66666666666667,3
"90",3,29,2,5,5,5,5,5,5,5,1,7,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,5,6,1,1,1,1,7,7,1,1,1,1,1,1,1,1,5,1,1,1,4,5,1,2,3.5,3.1
"91",3,68,1,3,3,3,4,4,3,4,4,5,2,5,4,3,3,3,3,4,5,4,3,2,5,3,5,5,6,5,2,3,3,2,3,4,4,6,4,4,4,3,4,4,5,4,6,4,5,3.42857142857143,3.75,3.33333333333333,4.16666666666667,2.7
