"","race","age_r","gender","sup_hash","sup_letter","sup_donate","sup_authority","sup_prosecute","sup_access","sup_training","ntv_invisibility_1","ntv_invisibility_2","ntv_invisibility_3","ntv_invisibility_4","ntv_invisibility_5","ntv_invisibility_6","invisibility1_13","invisibility1_14","invisibility1_15","invisibility1_16","invisibility1_17","invisibility1_18","in_violence","racism_mini_1","racism_mini_2","racism_mini_3","racism_mini_4","racism_mini_5","racism_mini_6","racism_mini_7","racism_mini_8","racism_mini_9","racism_mini_10","ab_activists","ab_sex_work","ab_non_native_pers","ab_rez","ab_citizens","ab_runaways","ab_drug","ab_male_worker","ab_criminal","ab_two_parent","ab_tribal_police","ab_poverty","ab_native_comm","ab_society","ab_abusive","ab_laws","Support","Invsibility","VictimBlaming","StructuralForces","RaceMini"
"187",3,23,2,1,1,1,4,4,4,3,4,4,2,6,5,6,3,1,6,6,7,6,5,1,7,2,6,7,6,6,1,2,3,1,1,6,1,6,1,1,5,1,1,4,4,1,6,2,4,2.57142857142857,5.16666666666667,1,4.5,1.7
"188",3,51,2,4,3,3,5,5,5,4,2,4,4,5,5,5,5,2,6,5,5,5,6,5,4,3,6,6,6,5,3,3,4,2,4,5,2,6,4,2,5,4,3,6,5,2,5,4,6,4.14285714285714,4.75,3,5.16666666666667,3.1
"189",3,34,2,4,2,3,5,5,2,2,3,5,1,5,7,5,1,7,1,3,6,5,3,6,7,1,6,7,7,6,2,4,1,1,4,4,1,7,1,4,5,4,5,7,7,5,6,6,4,3.28571428571429,3.41666666666667,2.5,4.83333333333333,2.1
"190",2,30,1,4,4,4,3,4,5,5,7,6,5,6,5,5,6,7,6,6,6,6,6,7,5,7,6,6,6,5,6,7,6,6,6,5,7,6,6,6,5,6,5,6,6,7,7,6,5,4.14285714285714,5.08333333333333,6.16666666666667,4.66666666666667,4.5
"191",3,25,2,4,4,3,5,5,4,4,2,6,1,5,5,4,3,5,2,4,5,3,2,1,6,1,7,7,7,6,1,2,1,1,2,6,2,6,1,2,7,2,2,5,2,3,6,2,6,4.14285714285714,3.25,1.66666666666667,5.33333333333333,1.3
"192",3,35,1,2,4,1,4,5,5,5,5,5,3,5,7,6,6,2,6,6,6,5,5,2,3,2,5,6,2,3,5,5,5,3,2,6,1,5,3,2,2,2,3,6,5,5,5,5,5,3.71428571428571,5.33333333333333,2.16666666666667,4.5,4
"193",3,32,2,5,2,2,4,4,5,5,6,2,2,5,7,3,1,5,3,3,7,5,1,5,6,5,3,3,5,6,3,3,3,2,3,2,3,6,3,2,3,1,5,5,6,3,2,5,3,3.85714285714286,4.25,2.33333333333333,4.16666666666667,3.6
"194",3,26,1,5,5,5,5,5,5,5,3,5,3,7,5,1,1,5,1,4,3,5,3,1,7,1,7,7,7,5,3,4,5,1,4,4,2,7,2,4,4,4,3,7,5,4,7,4,5,5,3.25,2.83333333333333,4.66666666666667,2.1
"195",3,33,1,2,2,3,4,4,4,3,6,4,2,5,5,3,1,7,2,3,5,4,5,1,7,1,6,6,6,6,1,5,1,1,2,4,2,5,3,3,4,2,4,5,5,5,5,4,3,3.14285714285714,3.41666666666667,2.16666666666667,4,1.8
"196",3,40,1,3,4,3,4,3,2,3,5,3,4,4,5,5,5,4,5,4,4,6,1,5,4,5,3,5,4,3,4,4,4,1,5,7,1,7,1,1,1,1,3,5,5,3,3,6,5,3.14285714285714,4.66666666666667,1.66666666666667,5,4.3
"197",2,37,1,1,1,3,4,2,2,1,5,4,5,5,6,5,4,6,4,4,5,5,4,6,3,6,1,4,4,3,4,3,6,2,3,4,3,3,3,2,1,4,3,5,3,3,1,3,3,2,4.5,2.83333333333333,3.83333333333333,5
"198",2,30,1,5,5,4,5,3,3,5,7,4,7,4,7,5,7,5,4,6,7,6,7,4,5,6,7,6,7,7,4,5,4,5,5,7,7,7,7,7,5,6,7,7,5,7,5,6,5,4.28571428571429,5.58333333333333,6.16666666666667,5.66666666666667,3.1
"199",3,27,2,1,1,1,3,3,1,1,3,4,4,7,7,7,1,1,7,7,7,4,7,4,4,4,4,6,5,3,3,5,3,3,4,4,2,6,3,3,4,4,7,4,6,4,7,6,7,1.57142857142857,5.41666666666667,3.16666666666667,4.33333333333333,3.7
"200",3,31,1,1,1,1,1,1,1,1,1,5,1,5,5,5,7,1,1,5,7,5,1,7,3,3,5,5,7,6,3,4,3,4,5,2,3,5,5,5,3,5,7,5,5,5,5,5,7,1,4.33333333333333,4.5,4.16666666666667,3.4
"201",3,48,1,4,3,3,3,3,3,4,4,4,3,3,4,3,3,5,3,4,4,4,3,4,5,4,5,5,4,5,3,5,4,2,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,3.28571428571429,3.5,3.66666666666667,4.16666666666667,3.6
"202",3,37,1,3,2,3,5,5,2,2,2,6,1,6,5,5,3,5,5,6,6,6,5,2,6,2,7,7,7,7,1,1,1,2,3,6,1,6,1,2,6,2,4,6,3,2,6,3,6,3.14285714285714,4.16666666666667,1.83333333333333,5.33333333333333,1.3
"203",8,29,1,4,3,4,5,5,4,5,1,7,1,4,5,1,1,4,2,4,1,1,1,7,4,6,4,4,4,1,2,2,4,1,1,7,1,7,4,1,6,1,4,4,1,1,4,2,1,4.28571428571429,2.16666666666667,1.5,4.83333333333333,4.4
"204",3,28,1,3,2,2,3,3,3,3,5,4,5,4,5,3,5,5,5,3,5,3,3,3,4,2,4,2,2,2,3,2,3,2,4,5,5,5,4,4,5,5,5,5,5,5,5,5,5,2.71428571428571,4.16666666666667,4,4.66666666666667,3.9
"205",3,43,1,1,3,1,3,2,5,3,5,3,2,6,6,7,6,6,6,6,6,6,7,6,6,5,5,2,5,3,6,3,6,3,4,3,3,5,5,4,3,4,5,5,5,5,6,5,5,2.57142857142857,5.25,3.83333333333333,3.83333333333333,4.5
"206",3,27,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1,4,4,4.16666666666667,4
"207",2,26,1,5,4,3,5,5,5,4,3,6,2,4,5,5,3,2,3,4,5,4,6,1,4,1,7,7,7,4,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,5,6,4,5,4.42857142857143,3.83333333333333,3.66666666666667,3.83333333333333,2
"208",3,36,2,4,2,3,4,4,4,3,3,6,6,4,5,4,5,6,6,6,7,3,5,5,5,5,5,5,6,4,3,2,4,1,2,5,4,6,3,4,5,4,1,6,4,2,5,2,7,3.42857142857143,4.41666666666667,3,5.33333333333333,3.4
"209",3,32,2,4,4,5,4,5,4,4,4,6,4,5,4,5,5,5,5,4,5,5,4,5,5,5,4,5,4,4,4,5,4,3,4,5,4,6,4,4,5,6,5,5,5,5,5,4,5,4.28571428571429,4.25,4.16666666666667,4.83333333333333,4.1
"210",3,49,2,2,2,1,2,4,5,3,4,4,4,4,7,5,5,3,5,5,5,5,5,7,2,7,6,7,1,1,7,7,4,4,1,4,1,7,1,4,4,4,4,4,4,4,4,4,4,2.71428571428571,4.83333333333333,2.5,4.5,5.5
"211",8,25,2,2,1,4,4,3,2,1,1,3,1,6,4,1,3,3,2,3,6,6,4,3,2,6,3,5,1,1,3,6,1,1,1,6,6,4,2,3,3,3,1,6,2,6,3,4,1,2.42857142857143,3.58333333333333,2.66666666666667,4.16666666666667,4.7
"212",2,30,1,3,5,4,5,5,3,5,6,5,7,6,6,5,7,6,7,3,7,5,7,7,NA,4,7,6,6,7,7,7,7,6,4,5,7,5,7,7,7,7,6,6,7,6,7,7,6,4.28571428571429,5.33333333333333,6.33333333333333,5,4.22222222222222
"213",3,46,2,2,3,2,4,4,5,5,4,4,3,6,6,6,4,4,6,6,7,5,5,4,5,4,4,6,4,2,4,4,4,2,4,5,3,6,2,1,4,3,4,4,4,4,5,4,4,3.57142857142857,5.08333333333333,2.5,4.33333333333333,3.9
"214",3,31,1,2,2,1,4,4,4,4,3,5,1,3,5,5,3,3,4,4,6,3,6,2,5,2,6,5,6,5,3,3,3,3,4,4,1,3,4,4,5,4,4,5,6,4,5,4,3,3,3.75,3.33333333333333,3.83333333333333,2.6
"215",3,49,1,3,2,3,5,5,4,4,3,7,1,3,4,4,2,2,2,6,3,2,6,6,4,6,1,1,7,4,6,4,5,1,1,4,2,7,2,1,6,2,1,5,4,1,4,1,6,3.71428571428571,3.08333333333333,1.5,5.33333333333333,5
"216",8,27,1,4,3,4,5,5,3,5,2,7,1,6,5,2,2,6,1,4,4,2,1,1,7,1,7,7,7,7,1,2,1,1,4,6,2,7,1,2,6,2,4,5,5,1,7,4,7,4.14285714285714,2.66666666666667,2,5.33333333333333,1.1
"217",3,28,1,1,1,1,1,1,1,1,5,2,5,6,7,6,5,1,7,7,6,6,6,2,6,2,7,7,5,6,3,1,6,2,1,1,3,5,2,2,2,2,4,6,5,6,5,5,7,1,6.08333333333333,2,4,2.3
"218",8,32,1,3,2,4,2,3,4,3,4,6,3,5,4,4,4,3,5,4,3,4,6,5,3,4,3,5,3,3,5,3,3,3,4,4,4,5,2,5,4,4,4,4,2,6,4,3,5,3,3.91666666666667,3.66666666666667,4.33333333333333,4.3
"219",3,49,1,1,1,1,4,4,1,3,6,2,4,6,7,7,6,2,7,7,7,6,6,1,6,1,6,7,5,7,2,2,1,2,4,4,2,6,4,4,4,4,4,6,5,4,5,4,4,2.14285714285714,6.25,3.33333333333333,4.5,1.6
"220",8,46,1,4,3,3,3,4,3,3,1,6,1,2,2,1,1,7,2,5,6,3,2,2,6,2,7,7,7,6,1,1,1,1,1,5,1,5,2,2,3,2,2,4,4,2,6,3,4,3.28571428571429,2.25,1.5,3.83333333333333,1.4
"221",3,31,2,5,5,5,5,5,5,5,4,7,1,2,4,2,3,2,4,4,1,2,4,4,4,4,4,7,7,4,1,1,2,1,1,4,1,7,3,1,4,1,1,4,6,1,4,4,7,5,2.83333333333333,1.33333333333333,5,2.6
"222",2,29,2,1,1,1,3,3,3,1,7,1,7,7,7,7,1,4,7,1,7,7,1,3,2,3,3,4,3,5,5,5,5,1,1,1,5,3,1,1,1,5,3,1,7,7,2,1,6,1.85714285714286,5.75,2.33333333333333,3,4.4
"223",3,31,1,4,3,3,4,3,3,4,2,6,1,5,5,3,2,5,2,6,6,3,2,1,7,1,7,7,7,7,1,1,1,1,2,6,1,7,2,2,5,2,2,4,4,2,7,3,5,3.42857142857143,3.33333333333333,1.66666666666667,4.66666666666667,1
"224",3,48,1,3,3,4,4,3,3,4,6,6,7,7,7,6,7,5,6,3,6,4,3,6,7,3,3,6,3,6,7,6,7,3,NA,6,6,7,4,6,5,2,3,2,2,3,2,3,NA,3.42857142857143,5.33333333333333,4.2,5.2,4.4
"225",4,40,1,2,2,2,2,2,2,2,4,5,4,5,6,6,5,4,4,6,5,4,4,4,5,4,4,5,4,5,4,3,4,3,4,4,3,4,3,4,4,4,4,5,5,3,4,5,4,2,4.66666666666667,3.5,4.16666666666667,3.6
"226",3,43,2,3,3,3,3,3,3,3,4,4,2,5,6,6,2,6,2,6,6,6,4,2,2,2,6,7,6,6,2,2,2,1,2,5,2,6,3,2,5,2,4,5,5,2,4,2,6,3,4.25,2,5.16666666666667,2.3
"227",3,28,1,1,1,3,3,1,3,2,3,3,2,4,5,6,3,5,5,6,5,6,6,6,2,6,2,2,2,3,6,6,6,4,4,2,4,2,4,5,2,4,6,5,6,3,3,4,2,2,4.41666666666667,4.16666666666667,3,5.9
"228",3,65,2,1,2,1,4,4,3,3,2,5,1,2,7,7,7,1,7,7,7,7,6,6,4,5,2,5,2,5,2,1,3,4,2,2,2,6,2,2,4,2,4,4,4,4,3,4,5,2.57142857142857,5.33333333333333,2.33333333333333,4.33333333333333,3.9
"229",3,31,1,4,1,3,5,5,5,5,1,5,1,7,7,7,3,4,7,7,7,7,7,6,4,6,5,7,7,1,1,3,1,1,4,5,1,4,1,1,4,1,1,5,1,1,1,4,6,4,5.08333333333333,1.5,5.16666666666667,3.3
"230",8,30,1,3,4,3,3,4,4,5,5,6,2,3,6,2,6,6,2,2,2,2,3,2,6,2,6,6,6,6,2,3,4,1,3,6,2,6,2,3,2,4,2,6,5,2,5,4,6,3.71428571428571,3,2.5,4.83333333333333,2.3
"231",2,32,1,5,4,4,3,4,4,3,6,6,7,5,6,5,7,7,7,4,6,4,6,6,7,4,7,7,4,6,5,5,7,6,4,6,6,7,6,7,7,4,4,6,7,5,7,7,5,3.85714285714286,5,5.5,5.33333333333333,3.6
"232",3,25,1,2,5,3,4,3,5,2,4,7,3,2,1,3,3,6,1,3,3,4,6,1,2,3,5,1,1,1,2,7,5,1,4,4,4,1,2,2,4,3,7,1,6,1,3,1,1,3.42857142857143,2.5,2.66666666666667,2.66666666666667,4.8
"233",3,22,2,2,3,4,3,3,2,3,5,6,5,7,7,6,4,7,6,6,7,4,6,4,4,6,6,5,6,5,6,5,5,5,6,6,6,7,6,6,6,5,5,5,5,6,5,6,6,2.85714285714286,5,5.66666666666667,5.5,4
"234",3,46,2,2,2,2,4,4,3,2,3,4,1,5,5,3,2,5,2,3,5,2,2,1,6,1,7,7,7,6,1,2,2,1,4,5,2,6,2,2,5,2,2,6,5,2,6,5,4,2.71428571428571,3.16666666666667,2.16666666666667,4.66666666666667,1.4
"235",1,32,2,4,4,4,5,5,4,5,2,6,2,5,6,6,4,2,6,6,6,6,4,5,7,5,6,7,6,6,2,2,2,2,2,4,2,6,5,2,2,4,6,5,6,6,6,5,6,4.42857142857143,4.75,2.83333333333333,4.16666666666667,2.4
"236",1,22,1,2,2,2,3,3,3,4,4,5,2,4,6,6,5,4,4,4,4,4,4,4,5,4,4,4,4,5,3,4,4,3,4,5,4,5,4,4,4,3,4,5,4,4,4,4,4,2.71428571428571,4.16666666666667,3.66666666666667,4.5,3.7
"237",3,50,2,4,3,3,5,5,5,4,2,7,1,6,6,3,2,5,3,6,5,3,3,3,5,2,6,6,7,5,2,1,2,1,4,4,1,7,2,2,4,1,2,6,2,5,6,2,3,4.14285714285714,3.41666666666667,1.83333333333333,4.33333333333333,2.1
"238",3,29,2,3,2,3,3,3,3,2,2,5,1,2,3,2,2,4,3,4,5,4,4,5,2,5,3,2,2,3,4,2,4,2,4,5,2,5,2,4,4,4,5,5,6,5,5,5,5,2.71428571428571,2.91666666666667,3,4.5,4.8
"239",2,27,1,5,3,4,4,4,4,3,4,5,6,7,4,6,7,4,6,5,4,5,6,4,7,6,5,5,3,5,6,3,6,6,6,5,5,7,6,6,5,6,7,5,6,6,6,6,6,3.85714285714286,5.08333333333333,5.83333333333333,5,4
"240",3,33,1,2,2,3,3,2,3,2,6,4,2,4,5,6,5,6,3,6,6,4,4,4,4,4,4,4,4,2,4,4,5,3,4,3,3,5,2,4,4,4,4,4,4,4,4,4,3,2.42857142857143,4.41666666666667,3.33333333333333,3.83333333333333,4.3
"241",2,31,1,3,5,4,4,3,4,5,7,6,6,7,6,6,5,5,6,5,5,7,6,6,6,5,6,7,5,7,5,5,6,5,6,6,7,6,5,7,6,6,7,6,5,6,6,7,5,4,5.41666666666667,6,5.16666666666667,3.6
"242",4,26,2,4,2,4,4,4,4,4,4,5,4,5,5,5,5,3,5,5,5,5,6,4,6,3,5,6,5,6,2,4,3,3,3,4,2,5,3,3,4,2,5,6,4,4,6,5,5,3.71428571428571,4.66666666666667,2.66666666666667,4.33333333333333,2.8
"243",3,48,2,4,1,1,3,3,2,2,2,3,2,3,7,5,2,2,5,6,6,5,5,6,2,7,1,1,1,1,5,2,NA,6,2,2,3,3,5,6,2,3,6,5,5,3,2,5,1,2.28571428571429,4.5,4.16666666666667,3.16666666666667,6
"244",3,36,1,4,5,4,3,3,5,5,5,5,4,6,7,7,6,5,4,5,5,6,7,5,5,6,6,5,6,6,4,4,5,5,7,5,6,7,6,4,4,6,6,5,5,5,7,4,6,4.14285714285714,5.08333333333333,5.66666666666667,4.66666666666667,3.6
"245",3,60,2,3,3,5,5,5,4,4,2,5,4,5,5,2,2,2,3,5,5,5,5,2,6,2,5,7,6,5,2,2,2,2,2,4,2,6,4,4,4,2,5,5,5,4,5,4,5,4.14285714285714,3.91666666666667,2.66666666666667,4.5,2.1
"246",3,25,1,5,3,4,4,5,3,4,4,5,7,5,7,7,5,4,5,4,5,7,5,7,5,4,4,5,5,7,5,6,5,5,6,6,6,5,5,7,6,4,6,7,5,6,4,5,7,4,5.25,5.5,5.83333333333333,4.1
"247",3,60,1,3,3,3,5,5,4,4,2,6,2,2,3,3,2,2,2,3,3,4,2,2,6,2,6,6,6,6,1,2,2,2,3,4,2,6,3,4,5,2,6,6,5,2,6,4,5,3.85714285714286,2.83333333333333,2.66666666666667,4.66666666666667,1.9
"248",3,37,1,2,2,1,2,1,1,2,1,5,1,1,6,6,6,2,6,6,6,6,6,2,6,2,6,6,6,6,1,2,2,1,6,6,2,7,4,4,6,4,6,5,7,1,3,4,5,1.57142857142857,4.5,3.5,5.66666666666667,1.9
"249",3,29,1,3,5,1,5,3,3,2,5,3,6,5,3,6,4,7,3,2,7,4,5,5,7,5,7,7,5,5,3,2,4,2,1,1,2,4,1,7,5,6,7,1,6,4,2,2,6,3.14285714285714,4.25,3.16666666666667,3.83333333333333,2.8
"250",8,31,1,4,3,3,4,4,4,4,3,4,2,4,6,4,3,4,4,4,5,4,4,1,7,2,6,6,6,6,3,4,2,3,4,4,3,5,4,4,4,3,4,5,5,4,5,4,4,3.71428571428571,3.91666666666667,3.5,4.16666666666667,2.1
"251",3,56,2,4,1,3,5,5,3,3,3,4,3,5,5,5,5,3,6,6,5,6,5,2,6,2,6,6,6,6,2,2,2,1,4,4,2,7,4,3,4,4,4,5,5,6,5,5,3,3.42857142857143,4.83333333333333,3,4.33333333333333,2
"252",2,45,1,5,5,5,5,5,5,5,7,1,4,7,7,7,1,5,7,7,4,1,1,1,7,1,7,7,7,7,1,1,1,1,1,4,1,7,1,1,4,1,1,7,7,7,7,5,7,5,5.16666666666667,1,5,1
"253",8,37,1,4,5,5,5,5,5,5,1,7,1,5,6,1,1,7,1,1,1,1,1,1,7,1,7,7,7,7,1,1,1,1,1,7,1,7,2,2,7,1,3,7,6,2,7,1,7,4.85714285714286,1.75,1.33333333333333,6,1
"254",3,35,1,3,3,4,4,4,5,4,6,5,7,6,7,6,6,6,6,7,5,6,3,5,7,6,6,7,7,6,6,6,5,6,6,5,6,5,6,5,5,5,6,6,5,5,6,5,5,3.85714285714286,5.58333333333333,5.66666666666667,4.66666666666667,3.5
"255",2,32,1,5,5,5,4,3,3,4,7,6,7,4,5,4,5,7,4,6,7,4,6,7,7,4,6,5,7,6,7,5,3,7,7,5,5,7,7,3,5,7,5,4,6,3,7,5,6,4.14285714285714,4.66666666666667,6,4.66666666666667,3.5
"256",3,54,2,4,4,4,4,4,3,4,2,5,2,4,4,3,3,5,4,3,5,3,3,4,5,3,4,6,4,4,3,3,3,1,4,4,3,6,3,3,4,3,3,5,5,2,3,3,5,3.85714285714286,3.25,2.83333333333333,4.83333333333333,3.3
"257",3,42,2,5,4,3,5,5,4,4,3,5,1,4,6,5,7,5,6,6,6,5,6,7,3,7,3,2,4,3,5,4,5,3,1,4,1,6,1,1,4,1,1,5,3,4,3,1,2,4.28571428571429,4.58333333333333,1.33333333333333,4.33333333333333,5.3
"258",8,27,2,5,1,4,5,4,4,4,5,5,2,2,5,2,7,1,7,7,7,7,6,5,3,1,7,7,7,7,2,3,4,2,5,4,1,7,1,1,4,5,5,7,7,5,5,4,5,3.85714285714286,5.08333333333333,2.5,5,2.4
"259",6,54,2,2,1,1,2,3,5,2,2,7,6,1,4,3,1,5,3,1,4,1,6,6,7,7,2,7,4,7,4,1,4,7,3,3,5,3,5,2,7,5,6,5,6,5,5,4,5,2.28571428571429,2.5,4.5,4.33333333333333,3.5
"260",4,33,1,4,2,4,2,3,4,3,5,3,2,5,5,3,4,6,5,5,4,3,2,3,5,4,3,4,5,2,5,6,5,5,1,3,6,5,6,3,4,6,5,5,5,3,3,4,4,3.14285714285714,4,4.5,4.33333333333333,4.4
"261",3,34,2,4,3,3,5,4,5,5,2,6,1,5,2,2,2,6,2,2,5,2,2,1,7,1,7,7,7,7,1,1,1,1,2,6,2,7,4,2,6,2,2,6,5,4,6,2,4,4.14285714285714,2.41666666666667,2.16666666666667,5.16666666666667,1
"262",3,48,2,3,4,3,5,5,5,4,2,6,2,3,3,2,2,6,2,2,2,3,3,2,6,2,5,7,4,6,1,2,2,2,4,4,1,7,3,2,5,3,4,5,5,5,5,3,6,4.14285714285714,2.25,2.5,5,2.1
"263",2,30,1,5,5,4,5,4,5,4,7,6,6,7,7,6,7,6,7,6,7,7,7,7,1,7,7,6,7,6,7,7,7,6,6,7,7,6,7,6,5,5,6,6,6,7,7,5,6,4.57142857142857,5.91666666666667,6.16666666666667,5.16666666666667,4.8
"264",1,25,2,2,1,1,3,3,1,1,5,3,3,5,6,6,6,2,5,6,7,6,6,3,5,3,5,6,6,2,2,2,3,2,6,5,2,5,3,3,5,2,2,6,3,2,3,5,3,1.71428571428571,5.5,3,4.83333333333333,2.9
"265",1,34,2,3,4,3,5,5,5,5,2,5,6,6,6,7,2,1,6,7,7,7,5,1,7,1,7,7,5,5,1,4,2,2,4,4,1,7,4,5,4,4,4,7,6,3,6,4,5,4.28571428571429,5.5,3.33333333333333,4.83333333333333,1.8
"266",3,58,2,3,3,3,4,2,4,3,5,3,4,5,5,3,2,5,2,6,6,5,2,2,7,1,6,6,6,5,2,4,2,2,2,4,2,6,4,2,4,2,3,5,4,4,5,5,4,3.14285714285714,4.25,2.33333333333333,4.33333333333333,2.1
"267",2,29,1,4,3,5,2,4,4,5,7,6,7,7,7,5,5,5,3,7,5,3,6,5,6,6,5,7,7,3,7,7,7,3,7,4,7,7,7,5,5,7,4,5,5,7,6,4,7,3.85714285714286,5.08333333333333,6,5,4.4
"268",3,47,2,3,2,4,3,2,4,3,3,4,2,3,3,3,3,5,5,6,3,5,5,5,4,3,5,5,4,4,3,2,5,2,4,4,3,5,4,4,5,3,5,5,5,4,3,4,4,3,3.58333333333333,3.33333333333333,4.66666666666667,3.6
"269",4,24,1,5,4,5,5,5,5,5,5,2,3,3,5,5,2,3,1,3,5,3,3,3,6,3,6,6,5,6,1,2,2,1,6,6,1,5,1,1,5,2,1,1,5,6,5,5,6,4.85714285714286,3.83333333333333,2,4.33333333333333,2.2
"270",3,40,2,4,3,3,4,4,4,4,2,6,2,5,6,3,3,5,2,3,5,2,2,2,5,3,6,6,6,5,2,2,2,2,3,5,2,6,2,1,5,2,3,6,5,2,5,3,6,3.71428571428571,3.16666666666667,2,5.16666666666667,2.3
"271",3,32,1,1,1,1,5,5,5,1,5,3,1,5,3,3,2,3,2,6,7,6,2,3,5,3,5,5,5,5,2,3,2,2,4,5,6,3,4,4,4,4,4,5,5,4,3,5,2,2.71428571428571,4.16666666666667,4,4,2.8
"272",4,40,1,2,2,3,4,4,3,2,1,6,2,3,7,6,3,5,4,6,7,5,5,5,5,3,5,7,4,4,3,4,3,2,2,3,4,5,4,3,4,5,7,4,6,6,6,6,5,2.85714285714286,4.08333333333333,3.33333333333333,3.83333333333333,3.3
"273",3,34,1,3,2,5,5,5,5,5,5,3,2,5,7,5,5,3,5,5,5,5,2,2,7,2,7,7,7,7,1,1,1,1,1,1,1,7,1,1,1,1,1,3,2,1,5,2,1,4.28571428571429,4.91666666666667,1,2.66666666666667,1.2
"274",3,48,1,5,5,4,5,5,5,5,1,7,1,7,7,5,2,2,3,6,6,6,5,1,6,1,7,7,7,6,1,1,1,1,4,4,2,7,3,4,5,2,2,7,2,2,6,3,4,4.85714285714286,4.25,2.66666666666667,4.83333333333333,1.2
"275",3,23,2,5,4,4,5,5,5,5,5,6,1,6,3,3,1,7,1,5,6,1,1,5,7,3,5,7,7,7,1,1,1,1,4,5,1,7,1,1,4,4,4,7,6,1,7,1,1,4.71428571428571,2.91666666666667,2,4.16666666666667,1.8
"276",3,48,NA,4,3,4,5,5,3,3,5,4,2,3,4,6,4,5,4,4,3,5,5,6,6,4,5,5,5,5,5,6,6,3,3,6,5,5,2,2,5,3,5,6,5,6,6,5,6,3.85714285714286,3.91666666666667,3,5,4.1
"277",3,59,2,5,5,5,5,5,5,5,3,5,2,5,5,3,2,5,3,3,3,3,2,3,6,3,6,6,6,5,1,3,3,1,2,4,2,7,4,4,5,3,4,4,5,4,6,4,5,5,3.16666666666667,2.66666666666667,4.5,2.4
"278",3,29,2,5,5,5,5,5,5,5,1,6,1,6,5,3,1,7,2,7,7,4,2,1,7,1,7,7,7,6,2,2,2,1,2,3,1,7,1,4,2,1,1,7,6,7,7,5,5,5,3.33333333333333,1.66666666666667,4.16666666666667,1.4
"279",3,48,2,3,2,2,5,5,2,3,2,6,1,2,5,1,1,2,5,3,6,2,3,5,1,5,3,4,2,4,3,1,5,2,2,3,3,4,2,3,5,3,3,5,5,1,1,3,4,3.14285714285714,3,2.5,4.66666666666667,4.5
"280",3,24,1,3,3,2,4,3,4,2,4,3,3,5,6,6,6,2,6,3,3,4,5,6,3,6,2,3,4,2,6,6,6,4,4,2,3,5,3,4,2,4,4,3,5,5,2,4,3,3,4.75,3.66666666666667,3.5,5.6
"281",8,NA,NA,3,3,NA,3,3,3,NA,NA,NA,NA,NA,3,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4,NA,NA
"282",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
